spotify_track_uri,ts,platform,ms_played,track_name,artist_name,album_name,reason_start,reason_end,shuffle,skipped,Day_name,Month_name,Year_name
4gs07VlJST4bdxGbBsXVue,08-07-2013,web player,269661,Heartbreak Warfare,John Mayer,Battle Studies,trackdone,trackdone,FALSE,FALSE,Mon,Jul,2013
7hR5toSPEgwFZ78jfHdANM,08-07-2013,web player,250368,Half of My Heart,John Mayer,Battle Studies,trackdone,trackdone,FALSE,FALSE,Mon,Jul,2013
3RgR3cFZ6xh7MlB9DURK6e,08-07-2013,web player,228126,Shadow Days,John Mayer,Born and Raised,trackdone,trackdone,FALSE,FALSE,Mon,Jul,2013
0CETmgFGt8Ne8vLnaLcduU,08-07-2013,web player,250069,Queen of California,John Mayer,Born and Raised,trackdone,trackdone,FALSE,FALSE,Mon,Jul,2013
7vFv0yFGMJW3qVXbAd9BK9,08-07-2013,web player,249651,Your Body Is a Wonderland,John Mayer,Room For Squares,trackdone,trackdone,FALSE,FALSE,Mon,Jul,2013
0EUSbTvyZfo9QOcxunL9Ro,08-07-2013,web player,345625,"In Your Atmosphere - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,trackdone,trackdone,FALSE,FALSE,Mon,Jul,2013
1aiDlPLPljMFUylWjMZras,08-07-2013,web player,8308,Something Like Olivia,John Mayer,Born and Raised,trackdone,nextbtn,FALSE,FALSE,Mon,Jul,2013
4LloVtxNZpeh7q7xdi1DQc,08-07-2013,web player,0,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,nextbtn,nextbtn,FALSE,FALSE,Mon,Jul,2013
0HLWvLKQWpFdPhgk6ym58n,08-07-2013,web player,1375,Who Says,John Mayer,Battle Studies,nextbtn,clickrow,FALSE,FALSE,Mon,Jul,2013
5pfVOeJXjiW36GgH7WnjlE,08-07-2013,web player,56644,For My Lover,Tracy Chapman,"Fast Folk Musical Magazine (Vol. 3, No. 4) Boston One",clickrow,clickrow,FALSE,FALSE,Mon,Jul,2013
2nMeu6UenVvwUktBCpLMK9,08-07-2013,web player,236042,Young And Beautiful,Lana Del Rey,Young And Beautiful,clickrow,unknown,FALSE,FALSE,Mon,Jul,2013
2nMeu6UenVvwUktBCpLMK9,08-07-2013,web player,236042,Young And Beautiful,Lana Del Rey,Young And Beautiful,trackdone,trackdone,FALSE,FALSE,Mon,Jul,2013
2nMeu6UenVvwUktBCpLMK9,08-07-2013,web player,192559,Young And Beautiful,Lana Del Rey,Young And Beautiful,trackdone,clickrow,FALSE,FALSE,Mon,Jul,2013
